 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.009,8.530,0.093,0.408,0.153,0.072,106.121,0.656,0.155,5844,14,105.871,0.078,2.125,0.470,0.918
2,0.033,3.431,0.132,0.810,0.293,0.144,28.978,0.633,0.306,2272,134,27.784,0.159,2.044,0.489,0.930
3,0.026,7.948,0.136,1.200,0.359,0.091,163.058,0.225,0.338,5332,73,172.079,0.119,3.938,0.254,0.684
4,0.007,2.286,0.108,0.352,0.108,0.088,73.688,0.758,0.122,1550,116,77.619,0.090,1.223,0.817,0.937
5,2.890E-4,11.118,0.064,0.068,0.025,0.015,20.056,0.786,0.027,7619,47,29.358,0.016,1.716,0.583,0.877
6,0.077,4.362,0.254,1.836,0.461,0.214,148.607,0.289,0.530,2845,100,163.210,0.246,2.157,0.464,0.762
7,0.003,7.414,0.106,0.220,0.076,0.054,102.052,0.840,0.078,5083,45,97.524,0.058,1.416,0.706,0.946
8,0.005,9.595,0.115,0.298,0.113,0.059,36.857,0.741,0.116,6547,100,32.692,0.062,1.936,0.517,0.940
9,0.007,6.842,0.183,0.342,0.113,0.078,54.766,0.737,0.119,4666,154,47.490,0.081,1.453,0.688,0.921
10,0.032,10.142,0.200,0.993,0.293,0.137,1.905,0.402,0.308,6842,139,2.713,0.149,2.132,0.469,0.845
11,0.027,5.189,0.266,0.733,0.261,0.133,84.735,0.640,0.264,3553,92,95.711,0.139,1.957,0.511,0.921
12,0.006,3.197,0.206,0.331,0.119,0.069,106.419,0.737,0.131,2181,96,106.821,0.077,1.715,0.583,0.944
13,0.006,10.476,0.180,0.337,0.134,0.058,21.546,0.678,0.132,7147,142,21.448,0.060,2.291,0.436,0.929
14,0.016,8.867,0.232,0.508,0.159,0.132,107.542,0.801,0.165,6064,105,113.398,0.136,1.209,0.827,0.949
15,0.008,9.348,0.213,0.353,0.115,0.083,75.134,0.758,0.118,6397,184,67.543,0.086,1.376,0.727,0.921
16,0.052,2.329,0.294,1.089,0.328,0.202,172.593,0.552,0.354,1467,204,4.254,0.214,1.622,0.617,0.856
17,0.123,9.616,0.372,2.476,0.486,0.323,2.911,0.252,0.515,6473,374,32.160,0.379,1.507,0.664,0.844
18,0.010,6.537,0.243,0.417,0.139,0.090,123.461,0.708,0.152,4467,121,112.620,0.094,1.555,0.643,0.919
19,0.004,5.074,0.214,0.233,0.073,0.062,152.947,0.822,0.079,3453,146,169.315,0.066,1.168,0.856,0.942
20,0.031,11.272,0.305,0.731,0.239,0.166,121.436,0.736,0.252,7717,123,97.989,0.171,1.439,0.695,0.940
21,0.027,6.732,0.316,1.080,0.259,0.135,158.768,0.295,0.303,4540,150,155.898,0.188,1.918,0.521,0.667
22,0.006,1.204,0.267,0.334,0.110,0.075,178.812,0.731,0.114,788,190,13.325,0.080,1.472,0.679,0.916
23,0.005,8.660,0.281,0.298,0.117,0.051,45.210,0.658,0.119,5918,226,54.951,0.054,2.308,0.433,0.910
24,0.033,7.415,0.360,1.809,0.230,0.185,146.548,0.129,0.353,5004,195,146.966,0.241,1.245,0.803,0.566
25,0.008,10.587,0.308,0.363,0.116,0.091,97.348,0.792,0.122,7237,173,120.847,0.094,1.274,0.785,0.950
26,0.014,8.026,0.334,0.518,0.163,0.110,132.171,0.659,0.175,5455,203,137.694,0.114,1.490,0.671,0.896
27,0.019,7.034,0.358,0.603,0.222,0.107,17.172,0.646,0.233,4755,283,20.136,0.120,2.061,0.485,0.923
28,0.042,7.881,0.453,0.923,0.307,0.175,113.207,0.622,0.332,5358,214,122.433,0.180,1.759,0.569,0.904
29,0.008,11.031,0.410,0.396,0.143,0.075,121.971,0.676,0.150,7550,231,107.554,0.081,1.896,0.527,0.903
30,0.003,0.786,0.379,0.252,0.101,0.042,145.768,0.655,0.100,511,236,140.301,0.045,2.419,0.413,0.929
31,0.004,5.969,0.384,0.268,0.091,0.060,130.864,0.752,0.097,4072,238,127.042,0.068,1.528,0.655,0.912
32,0.048,3.352,0.481,0.920,0.309,0.198,172.906,0.716,0.321,2196,368,12.585,0.197,1.561,0.641,0.940
33,0.009,8.911,0.430,0.393,0.106,0.102,81.988,0.694,0.118,6071,302,15.068,0.105,1.041,0.961,0.892
34,1.891E-4,4.016,0.393,0.048,0.016,0.015,108.109,1.000,0.018,2752,264,114.444,0.015,1.108,0.903,0.942
35,0.005,0.268,0.457,0.290,0.102,0.063,73.734,0.756,0.108,168,344,65.171,0.070,1.621,0.617,0.931
36,0.007,0.954,0.453,0.343,0.123,0.069,7.261,0.716,0.126,616,307,175.347,0.074,1.780,0.562,0.937
37,0.045,0.692,0.560,0.879,0.285,0.199,142.148,0.725,0.297,437,290,115.306,0.191,1.435,0.697,0.948
38,0.010,10.615,0.491,0.403,0.140,0.091,61.989,0.776,0.143,7247,374,50.793,0.094,1.531,0.653,0.929
39,0.009,6.723,0.506,0.508,0.218,0.052,134.015,0.435,0.216,4549,293,135.546,0.061,4.185,0.239,0.850
40,0.012,6.601,0.492,0.450,0.148,0.103,149.061,0.748,0.158,4484,307,154.855,0.107,1.433,0.698,0.933
41,0.009,2.711,0.510,0.418,0.122,0.097,29.047,0.666,0.134,1810,347,22.380,0.108,1.260,0.794,0.916
42,0.008,1.363,0.506,0.374,0.134,0.075,167.637,0.710,0.143,891,331,161.012,0.084,1.784,0.561,0.932
43,0.003,9.873,0.500,0.230,0.066,0.064,119.129,0.786,0.074,6750,330,145.376,0.064,1.035,0.967,0.930
44,0.004,6.897,0.544,0.250,0.081,0.065,78.064,0.832,0.082,4721,345,102.308,0.067,1.238,0.808,0.951
45,0.017,9.776,0.585,0.539,0.192,0.111,138.049,0.723,0.191,6661,353,129.750,0.117,1.735,0.576,0.934
46,0.031,11.203,0.647,0.907,0.226,0.176,81.746,0.476,0.272,7664,529,70.305,0.198,1.286,0.778,0.821
47,0.016,2.464,0.606,0.525,0.164,0.127,123.608,0.745,0.168,1677,470,84.536,0.130,1.283,0.780,0.929
48,0.012,1.008,0.610,0.462,0.164,0.089,71.705,0.676,0.170,668,468,66.286,0.098,1.836,0.545,0.930
49,0.021,9.226,0.659,0.742,0.243,0.108,67.585,0.471,0.262,6277,533,65.292,0.131,2.249,0.445,0.785
50,1.530E-4,8.272,0.568,0.044,0.015,0.013,175.477,1.000,0.017,5669,389,164.745,0.013,1.174,0.852,0.911
51,0.025,4.402,0.638,0.657,0.232,0.135,2.545,0.713,0.243,2942,470,24.102,0.128,1.722,0.581,0.958
52,0.099,1.973,0.850,1.707,0.549,0.230,94.502,0.427,0.545,1328,777,85.554,0.250,2.393,0.418,0.865
53,0.050,5.728,0.721,1.033,0.328,0.192,14.585,0.583,0.337,3804,499,17.103,0.216,1.703,0.587,0.886
54,0.051,5.050,0.744,0.938,0.269,0.240,69.225,0.723,0.297,3452,417,97.055,0.236,1.119,0.893,0.925
55,2.103E-4,10.939,0.633,0.057,0.023,0.012,127.667,0.813,0.024,7501,427,119.745,0.012,1.980,0.505,0.892
56,0.021,2.643,0.724,0.625,0.209,0.125,72.009,0.664,0.228,1770,557,52.543,0.128,1.671,0.599,0.922
57,0.008,3.320,0.685,0.356,0.115,0.085,24.434,0.767,0.118,2239,463,177.173,0.091,1.346,0.743,0.928
58,0.004,10.753,0.685,0.251,0.083,0.060,75.774,0.787,0.087,7372,439,102.633,0.062,1.383,0.723,0.932
59,0.086,9.109,0.902,1.551,0.468,0.233,120.537,0.448,0.511,6193,460,103.521,0.280,2.011,0.497,0.806
60,0.076,2.784,0.889,2.097,0.440,0.219,64.950,0.217,0.473,1886,781,67.706,0.260,2.003,0.499,0.743
61,0.007,6.150,0.750,0.370,0.138,0.064,28.191,0.643,0.142,4176,538,33.690,0.068,2.146,0.466,0.923
62,0.041,5.374,0.834,1.100,0.257,0.205,69.224,0.430,0.333,3636,485,93.263,0.239,1.257,0.795,0.784
63,0.007,6.751,0.763,0.351,0.106,0.086,123.157,0.734,0.112,4612,489,127.614,0.089,1.229,0.814,0.912
64,2.401E-4,3.823,0.719,0.056,0.020,0.016,170.415,0.952,0.021,2617,489,155.225,0.016,1.260,0.794,0.926
65,0.005,11.391,0.767,0.331,0.131,0.052,133.776,0.615,0.133,7787,495,128.758,0.055,2.528,0.396,0.910
66,0.041,8.378,0.923,0.964,0.375,0.141,101.040,0.560,0.375,5708,507,108.576,0.147,2.665,0.375,0.943
67,5.248E-4,11.019,0.750,0.085,0.028,0.024,43.078,0.917,0.029,7554,523,59.534,0.025,1.134,0.882,0.932
68,0.005,10.271,0.781,0.325,0.099,0.068,6.367,0.627,0.113,7010,538,11.165,0.074,1.465,0.683,0.848
69,2.401E-4,3.142,0.758,0.061,0.024,0.013,170.683,0.813,0.024,2147,517,162.646,0.013,1.919,0.521,0.930
70,0.032,7.493,0.829,0.996,0.316,0.127,8.602,0.401,0.309,5041,572,8.130,0.152,2.483,0.403,0.822
71,0.013,7.709,0.833,0.463,0.147,0.109,91.009,0.735,0.156,5279,516,92.675,0.122,1.353,0.739,0.920
72,0.033,3.897,0.898,0.815,0.320,0.132,142.395,0.628,0.321,2599,543,140.894,0.136,2.417,0.414,0.941
73,0.005,11.187,0.838,0.281,0.097,0.064,80.655,0.776,0.104,7659,609,72.838,0.066,1.515,0.660,0.938
74,3.484E-4,3.276,0.802,0.073,0.026,0.017,46.812,0.818,0.027,2241,556,40.601,0.019,1.580,0.633,0.877
75,1.997E-4,8.499,0.830,0.053,0.018,0.014,132.783,0.897,0.020,5829,563,116.565,0.014,1.340,0.746,0.900
76,0.008,10.665,0.880,0.342,0.118,0.081,100.619,0.807,0.124,7307,563,100.125,0.086,1.451,0.689,0.945
77,0.047,2.383,0.987,0.961,0.271,0.222,77.139,0.642,0.322,1576,790,70.991,0.227,1.218,0.821,0.878
78,0.003,3.419,0.888,0.215,0.071,0.056,113.426,0.858,0.074,2332,588,126.193,0.059,1.268,0.789,0.944
79,6.608E-4,8.708,0.875,0.096,0.031,0.027,178.112,0.905,0.033,5963,605,28.811,0.026,1.137,0.880,0.950
80,0.007,7.820,0.922,0.323,0.104,0.081,52.182,0.794,0.112,5339,663,60.440,0.083,1.290,0.775,0.946
81,0.021,5.564,0.955,0.758,0.323,0.083,17.982,0.463,0.314,3718,689,21.209,0.089,3.875,0.258,0.898
82,0.021,8.146,0.983,0.800,0.234,0.116,126.283,0.418,0.239,5558,604,122.042,0.139,2.027,0.493,0.824
83,0.011,10.838,0.951,0.444,0.130,0.111,118.371,0.722,0.149,7405,608,138.180,0.118,1.165,0.858,0.918
84,0.022,7.125,0.985,0.618,0.204,0.137,47.560,0.723,0.207,4839,731,35.819,0.143,1.491,0.671,0.937
85,0.047,6.283,1.078,1.088,0.361,0.166,55.935,0.498,0.369,4237,846,55.620,0.181,2.180,0.459,0.895
86,7.224E-4,6.751,0.974,0.114,0.046,0.020,82.945,0.693,0.046,4629,683,79.046,0.020,2.332,0.429,0.933
87,0.006,1.757,1.007,0.314,0.111,0.074,116.662,0.819,0.115,1193,653,110.726,0.076,1.498,0.668,0.961
88,7.203E-4,7.673,0.985,0.112,0.041,0.022,79.735,0.723,0.044,5261,692,74.578,0.025,1.867,0.536,0.906
89,0.008,7.472,1.027,0.373,0.142,0.069,136.634,0.691,0.138,5092,671,141.435,0.070,2.068,0.484,0.918
90,0.007,1.260,1.043,0.374,0.140,0.061,97.149,0.601,0.145,854,668,96.911,0.066,2.309,0.433,0.899
91,0.032,8.964,1.104,1.044,0.259,0.156,172.765,0.365,0.285,6039,737,162.768,0.201,1.662,0.602,0.773
92,0.122,7.475,1.191,2.387,0.554,0.281,150.793,0.270,0.615,4925,715,140.768,0.356,1.967,0.508,0.764
93,0.057,11.260,1.161,1.087,0.399,0.183,41.317,0.608,0.407,7616,855,30.788,0.203,2.186,0.457,0.911
94,0.035,5.039,1.124,0.766,0.244,0.185,79.030,0.759,0.253,3424,851,56.768,0.191,1.319,0.758,0.952
95,0.007,10.350,1.052,0.354,0.105,0.083,8.656,0.685,0.122,7064,701,161.131,0.090,1.267,0.789,0.913
96,0.036,10.790,1.169,0.851,0.310,0.146,107.868,0.618,0.312,7353,705,111.652,0.157,2.126,0.470,0.910
