 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.076	7.523	1.613	5.898	1.763	1.499	148.279	0.750	1.988	1106	200	150.169	1.523	1.176	0.850	0.965
2	1.701	1.779	1.731	5.623	1.774	1.221	123.869	0.676	2.018	218	136	111.197	1.295	1.452	0.689	0.945
3	1.573	10.527	1.586	5.484	2.144	0.934	24.000	0.657	2.102	1579	327	22.076	0.924	2.296	0.436	0.962
4	0.001	2.119	1.193	0.138	0.054	0.033	155.744	0.905	0.057	347	196	161.565	0.036	1.651	0.606	0.884
5	0.810	4.864	1.629	4.121	1.598	0.645	29.060	0.599	1.651	691	342	24.600	0.695	2.478	0.404	0.927
6	0.786	13.528	1.743	3.967	1.533	0.653	162.527	0.627	1.554	2122	235	162.619	0.667	2.347	0.426	0.957
7	0.002	13.580	1.378	0.154	0.055	0.042	16.771	0.962	0.059	2248	231	23.962	0.042	1.328	0.753	0.909
8	0.605	15.921	1.877	3.106	0.927	0.832	102.311	0.789	1.041	2614	231	118.346	0.820	1.115	0.897	0.964
9	0.636	19.726	2.096	3.196	0.986	0.821	97.558	0.782	1.055	3258	434	73.740	0.796	1.200	0.833	0.971
10	2.908E-4	21.123	1.660	0.055	0.021	0.017	45.000	1.000	0.026	3502	277	45.000	0.018	1.229	0.814	0.941
11	0.701	17.866	2.034	3.828	1.505	0.593	165.837	0.601	1.465	2838	342	171.003	0.604	2.540	0.394	0.951
12	0.002	12.835	2.090	0.176	0.058	0.053	168.725	0.972	0.063	2124	345	163.301	0.054	1.089	0.919	0.892
13	0.001	19.287	2.195	0.130	0.048	0.037	10.358	1.000	0.052	3195	366	20.556	0.036	1.296	0.771	0.916
14	4.726E-4	12.596	2.339	0.072	0.026	0.023	45.000	1.000	0.030	2087	389	36.870	0.024	1.159	0.863	0.897
15	0.001	17.130	2.422	0.135	0.047	0.037	27.143	0.953	0.052	2837	403	20.556	0.040	1.265	0.790	0.864
16	0.002	17.236	2.502	0.163	0.061	0.042	35.322	0.950	0.065	2854	418	33.690	0.046	1.471	0.680	0.909
17	0.355	18.159	3.606	2.443	0.913	0.495	35.050	0.748	0.915	2944	637	28.761	0.495	1.844	0.542	0.958
18	0.430	19.731	3.706	2.759	1.029	0.532	129.998	0.709	1.030	3215	547	123.783	0.562	1.934	0.517	0.943
19	0.328	14.966	3.673	2.527	0.940	0.444	37.748	0.645	0.937	2414	659	23.102	0.473	2.115	0.473	0.946
20	0.648	1.070	3.898	3.224	1.015	0.813	37.639	0.784	1.070	112	719	33.511	0.822	1.248	0.801	0.962
21	0.474	13.188	3.873	2.724	0.928	0.650	55.622	0.803	0.965	2169	724	75.530	0.631	1.427	0.701	0.961
22	0.007	19.048	3.526	0.305	0.099	0.084	164.341	0.886	0.111	3150	582	157.620	0.090	1.183	0.845	0.916
23	0.432	9.919	3.778	2.813	1.040	0.529	172.963	0.686	1.041	1552	634	4.984	0.538	1.965	0.509	0.953
24	0.301	11.675	3.769	2.362	0.898	0.427	172.697	0.678	0.898	1862	624	173.447	0.467	2.104	0.475	0.930
25	0.401	16.525	3.811	2.710	0.978	0.522	174.134	0.686	0.964	2663	625	174.254	0.543	1.875	0.533	0.948
26	0.524	5.972	4.026	2.964	0.919	0.725	8.131	0.749	1.018	915	686	12.308	0.761	1.267	0.789	0.957
27	4.726E-4	20.126	3.636	0.072	0.026	0.023	45.000	1.000	0.030	3336	605	36.870	0.024	1.159	0.863	0.897
28	0.583	7.828	4.167	3.113	0.916	0.810	141.045	0.756	1.029	1235	624	131.912	0.800	1.131	0.884	0.959
29	0.596	3.863	4.084	3.503	1.357	0.559	162.308	0.610	1.363	533	624	156.269	0.586	2.428	0.412	0.946
30	0.001	17.343	3.939	0.123	0.042	0.033	45.001	0.907	0.046	2873	655	23.199	0.038	1.250	0.800	0.822
31	0.227	20.177	5.204	1.969	0.693	0.417	22.383	0.735	0.701	3291	888	15.471	0.415	1.661	0.602	0.955
32	0.266	18.609	5.468	2.081	0.750	0.452	105.650	0.772	0.758	3063	844	105.695	0.472	1.659	0.603	0.964
33	0.226	16.798	5.384	1.940	0.642	0.448	147.392	0.753	0.649	2727	882	148.671	0.439	1.434	0.697	0.951
34	0.261	15.297	5.437	2.314	0.955	0.348	161.899	0.613	0.923	2461	877	162.512	0.354	2.744	0.364	0.953
35	0.304	3.365	5.717	2.311	0.756	0.513	82.833	0.716	0.851	553	1011	77.735	0.524	1.473	0.679	0.930
