 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.007,4.044,0.065,0.372,0.151,0.059,131.242,0.637,0.154,2795,4,127.828,0.065,2.552,0.392,0.928
2,0.005,10.799,0.058,0.335,0.118,0.051,25.827,0.531,0.131,7498,64,36.995,0.062,2.314,0.432,0.915
3,0.006,7.824,0.095,0.359,0.131,0.054,102.144,0.540,0.139,5445,23,106.756,0.059,2.423,0.413,0.863
4,0.090,2.097,0.217,1.863,0.546,0.211,153.505,0.327,0.601,1288,45,152.947,0.268,2.588,0.386,0.816
5,0.013,11.045,0.118,0.626,0.191,0.088,166.317,0.425,0.227,7652,61,162.366,0.098,2.157,0.464,0.819
6,4.421E-4,0.523,0.082,0.078,0.027,0.021,51.532,0.902,0.029,359,65,53.130,0.022,1.248,0.801,0.939
7,0.035,6.434,0.231,1.240,0.305,0.147,98.954,0.288,0.357,4484,51,102.031,0.207,2.067,0.484,0.639
8,0.014,1.063,0.132,0.499,0.186,0.098,14.928,0.722,0.189,677,95,6.963,0.100,1.901,0.526,0.939
9,0.071,6.824,0.207,1.189,0.427,0.213,22.523,0.635,0.445,4628,179,19.716,0.214,2.003,0.499,0.938
10,0.020,8.888,0.166,0.569,0.181,0.142,84.289,0.783,0.195,6196,56,98.011,0.146,1.278,0.782,0.961
11,0.034,0.506,0.182,0.998,0.424,0.102,21.218,0.427,0.410,219,184,22.989,0.119,4.170,0.240,0.845
12,3.582E-4,2.359,0.107,0.071,0.024,0.019,175.864,0.903,0.026,1640,76,9.462,0.020,1.262,0.792,0.919
13,3.254E-4,0.779,0.116,0.066,0.021,0.020,81.097,0.953,0.023,539,88,52.431,0.019,1.077,0.929,0.955
14,3.684E-4,2.656,0.125,0.071,0.025,0.019,113.929,0.907,0.026,1854,79,109.440,0.020,1.321,0.757,0.918
15,0.010,9.167,0.190,0.482,0.202,0.063,25.945,0.541,0.200,6344,162,22.335,0.068,3.221,0.310,0.881
16,5.669E-4,4.064,0.158,0.089,0.029,0.025,167.285,0.904,0.032,2831,104,140.528,0.024,1.130,0.885,0.954
17,6.365E-4,3.470,0.187,0.101,0.041,0.020,179.874,0.780,0.042,2411,129,172.147,0.020,2.107,0.474,0.933
18,0.006,0.241,0.238,0.331,0.104,0.071,33.822,0.661,0.115,135,190,41.455,0.075,1.475,0.678,0.860
19,3.602E-4,2.820,0.212,0.073,0.025,0.018,98.500,0.847,0.028,1970,139,101.889,0.019,1.390,0.720,0.914
20,0.065,3.039,0.373,1.088,0.377,0.221,129.343,0.692,0.401,2046,150,121.594,0.221,1.707,0.586,0.947
21,4.216E-4,4.048,0.215,0.076,0.026,0.020,18.900,0.918,0.027,2821,155,18.435,0.021,1.283,0.780,0.934
22,0.005,8.526,0.262,0.338,0.108,0.065,51.060,0.600,0.121,5929,213,49.325,0.068,1.673,0.598,0.897
23,0.017,7.654,0.332,0.643,0.245,0.089,111.638,0.520,0.257,5317,160,113.995,0.096,2.757,0.363,0.910
24,0.002,6.509,0.257,0.156,0.052,0.039,64.315,0.828,0.055,4542,199,74.876,0.043,1.322,0.756,0.930
25,0.009,4.225,0.284,0.478,0.188,0.061,153.524,0.495,0.200,2887,164,154.167,0.068,3.074,0.325,0.890
26,0.006,9.654,0.280,0.306,0.111,0.064,47.914,0.755,0.114,6729,231,55.713,0.069,1.727,0.579,0.931
27,0.016,10.832,0.326,0.544,0.203,0.101,137.289,0.683,0.205,7521,169,123.024,0.100,2.008,0.498,0.954
28,0.003,3.635,0.278,0.222,0.080,0.042,26.416,0.673,0.087,2507,204,13.349,0.046,1.878,0.532,0.912
29,0.118,1.063,0.434,2.343,0.522,0.288,19.486,0.270,0.636,509,369,21.658,0.352,1.812,0.552,0.751
30,0.006,7.152,0.322,0.347,0.130,0.061,121.905,0.648,0.135,4975,185,125.538,0.065,2.128,0.470,0.914
31,4.892E-4,2.773,0.286,0.087,0.033,0.019,80.975,0.820,0.034,1937,212,77.735,0.020,1.742,0.574,0.925
32,8.289E-4,1.719,0.295,0.139,0.036,0.030,31.216,0.535,0.045,1185,209,37.235,0.037,1.195,0.836,0.753
33,0.014,4.107,0.343,0.489,0.150,0.115,53.026,0.715,0.165,2834,289,55.620,0.123,1.304,0.767,0.927
34,0.015,10.505,0.378,0.517,0.192,0.100,95.205,0.707,0.196,7341,192,97.953,0.100,1.920,0.521,0.949
35,0.017,5.724,0.373,0.615,0.255,0.086,43.961,0.570,0.248,3949,332,46.637,0.089,2.970,0.337,0.924
36,0.010,9.756,0.373,0.456,0.172,0.073,76.917,0.597,0.177,6794,317,67.166,0.077,2.346,0.426,0.917
37,0.014,7.006,0.383,0.485,0.153,0.119,80.720,0.765,0.165,4887,210,101.505,0.115,1.282,0.780,0.953
38,0.185,8.041,0.576,3.064,0.593,0.397,9.498,0.248,0.630,5496,546,39.289,0.505,1.493,0.670,0.774
39,0.001,9.150,0.341,0.139,0.043,0.034,7.917,0.736,0.047,6383,250,28.887,0.034,1.273,0.785,0.912
40,0.002,8.375,0.371,0.182,0.061,0.045,140.755,0.823,0.063,5845,238,114.228,0.046,1.363,0.734,0.930
41,0.013,3.392,0.453,0.539,0.202,0.083,81.274,0.567,0.211,2348,389,74.643,0.090,2.431,0.411,0.930
42,0.004,4.803,0.437,0.248,0.082,0.057,152.164,0.757,0.092,3330,285,155.037,0.060,1.440,0.695,0.936
43,4.237E-4,2.564,0.424,0.077,0.026,0.021,113.453,0.894,0.028,1787,288,111.251,0.022,1.223,0.818,0.924
44,0.025,10.256,0.526,0.722,0.250,0.125,47.042,0.590,0.265,7097,426,39.964,0.137,1.999,0.500,0.885
45,3.602E-4,7.402,0.454,0.070,0.023,0.020,150.390,0.926,0.025,5169,311,125.538,0.021,1.155,0.866,0.929
46,5.158E-4,4.235,0.468,0.091,0.035,0.019,74.853,0.775,0.036,2958,340,73.740,0.020,1.919,0.521,0.911
47,3.295E-4,11.156,0.463,0.068,0.024,0.018,12.518,0.889,0.026,7790,326,19.440,0.019,1.331,0.751,0.915
48,0.031,4.057,0.628,0.881,0.347,0.114,58.490,0.504,0.357,2785,557,58.092,0.127,3.044,0.328,0.901
49,0.015,5.696,0.569,0.583,0.190,0.104,90.825,0.571,0.213,3974,487,84.596,0.119,1.836,0.545,0.891
50,8.944E-4,1.968,0.501,0.116,0.040,0.028,178.018,0.832,0.041,1362,346,167.905,0.030,1.403,0.713,0.934
51,0.008,4.805,0.541,0.363,0.117,0.088,162.075,0.773,0.129,3330,345,145.426,0.090,1.319,0.758,0.949
52,4.093E-4,8.900,0.510,0.077,0.027,0.019,86.531,0.872,0.029,6218,365,72.474,0.020,1.386,0.722,0.932
53,3.152E-4,9.822,0.538,0.064,0.021,0.019,159.429,0.976,0.023,6858,373,161.565,0.019,1.137,0.880,0.928
54,0.187,2.163,0.975,4.132,0.859,0.277,70.824,0.137,0.980,1395,1038,75.376,0.384,3.107,0.322,0.655
55,0.071,9.215,0.695,1.749,0.353,0.257,3.022,0.292,0.418,6295,504,12.465,0.270,1.375,0.727,0.802
56,0.052,2.737,0.750,1.522,0.367,0.182,77.115,0.284,0.432,1947,690,85.063,0.263,2.020,0.495,0.650
57,5.321E-4,0.629,0.577,0.096,0.036,0.019,8.789,0.733,0.039,427,409,17.103,0.021,1.955,0.512,0.904
58,0.004,0.955,0.665,0.327,0.127,0.041,104.141,0.477,0.135,648,427,107.860,0.051,3.121,0.320,0.804
59,0.009,4.216,0.683,0.368,0.124,0.088,12.764,0.790,0.129,2903,485,10.192,0.093,1.405,0.712,0.945
60,0.006,1.204,0.687,0.335,0.106,0.075,24.614,0.696,0.118,810,508,31.562,0.079,1.418,0.705,0.898
61,4.114E-4,0.573,0.661,0.075,0.025,0.021,65.991,0.915,0.027,397,471,74.476,0.021,1.235,0.810,0.922
62,0.006,10.160,0.712,0.348,0.108,0.071,52.914,0.624,0.125,7072,523,36.607,0.074,1.517,0.659,0.864
63,4.687E-4,7.014,0.684,0.082,0.031,0.019,108.885,0.875,0.032,4900,468,108.435,0.020,1.626,0.615,0.933
64,3.131E-4,4.709,0.681,0.065,0.020,0.019,107.263,0.921,0.022,3289,469,101.310,0.020,1.049,0.953,0.916
65,0.036,9.662,0.814,0.833,0.271,0.167,67.524,0.644,0.299,6707,662,56.919,0.193,1.624,0.616,0.916
66,4.380E-4,6.834,0.740,0.080,0.028,0.020,97.087,0.859,0.029,4774,507,101.310,0.021,1.426,0.701,0.922
67,4.257E-4,4.107,0.741,0.084,0.030,0.018,169.007,0.763,0.032,2861,515,159.146,0.019,1.677,0.596,0.897
68,3.131E-4,0.426,0.744,0.066,0.022,0.018,4.635,0.897,0.024,291,523,17.354,0.019,1.208,0.828,0.916
69,0.007,8.898,0.797,0.336,0.108,0.077,43.600,0.723,0.118,6200,589,60.945,0.082,1.405,0.712,0.920
70,7.163E-4,9.968,0.751,0.115,0.048,0.019,164.046,0.680,0.049,6951,520,163.142,0.020,2.497,0.401,0.926
71,4.748E-4,6.482,0.759,0.089,0.036,0.017,117.468,0.754,0.038,4524,519,116.565,0.020,2.123,0.471,0.910
72,0.005,2.026,0.806,0.305,0.112,0.062,84.784,0.735,0.115,1409,523,96.419,0.063,1.815,0.551,0.940
73,5.383E-4,2.854,0.773,0.099,0.039,0.018,117.111,0.689,0.042,1989,527,116.565,0.021,2.201,0.454,0.889
74,0.008,8.697,0.798,0.374,0.118,0.084,169.566,0.694,0.127,6033,542,151.699,0.086,1.407,0.711,0.905
75,3.827E-4,5.804,0.794,0.075,0.028,0.018,21.053,0.860,0.029,4048,561,32.905,0.019,1.566,0.638,0.921
76,0.008,8.092,0.839,0.400,0.149,0.072,177.224,0.665,0.156,5598,587,3.674,0.074,2.064,0.484,0.934
77,0.053,5.126,0.950,1.313,0.311,0.215,135.982,0.383,0.358,3465,602,162.072,0.276,1.442,0.694,0.776
78,0.007,1.668,0.902,0.402,0.158,0.060,58.977,0.576,0.161,1140,676,61.390,0.064,2.641,0.379,0.915
79,0.095,2.963,1.040,1.542,0.389,0.311,54.068,0.501,0.431,1960,830,57.208,0.348,1.251,0.799,0.885
80,0.025,9.942,0.927,0.802,0.332,0.098,33.055,0.498,0.334,6857,729,36.280,0.101,3.390,0.295,0.921
81,3.438E-4,1.835,0.848,0.069,0.025,0.017,21.140,0.906,0.026,1274,597,22.380,0.019,1.478,0.677,0.931
82,0.005,4.617,0.893,0.300,0.098,0.070,128.822,0.762,0.107,3212,588,121.357,0.074,1.399,0.715,0.931
83,0.055,5.455,1.093,1.676,0.486,0.144,110.482,0.246,0.512,3758,588,106.055,0.215,3.381,0.296,0.693
84,4.564E-4,3.397,0.860,0.081,0.027,0.022,101.581,0.877,0.029,2372,591,112.834,0.023,1.238,0.807,0.918
85,0.003,8.355,0.887,0.244,0.086,0.044,47.499,0.633,0.087,5830,646,64.699,0.052,1.924,0.520,0.876
