 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3.491E-4,2.296,0.016,0.071,0.025,0.018,116.697,0.878,0.027,1620,4,124.509,0.018,1.451,0.689,0.936
2,0.007,9.355,0.052,0.344,0.113,0.084,2.929,0.788,0.118,6581,46,6.189,0.087,1.346,0.743,0.939
3,0.005,8.941,0.058,0.306,0.094,0.074,131.513,0.732,0.104,6310,6,130.601,0.079,1.262,0.792,0.908
4,0.004,0.310,0.043,0.318,0.078,0.064,165.487,0.488,0.095,184,16,153.435,0.070,1.228,0.814,0.812
5,1.456E-4,10.287,0.020,0.042,0.014,0.013,161.502,1.000,0.015,7278,12,158.199,0.014,1.026,0.974,0.907
6,0.009,3.755,0.089,0.526,0.169,0.069,117.739,0.413,0.177,2639,13,113.499,0.094,2.462,0.406,0.773
7,0.007,5.401,0.067,0.349,0.097,0.091,90.225,0.722,0.107,3793,70,52.524,0.094,1.062,0.942,0.913
8,1.915E-4,0.420,0.025,0.051,0.018,0.013,73.856,0.929,0.019,294,24,72.897,0.014,1.402,0.713,0.914
9,1.975E-4,2.808,0.025,0.053,0.018,0.014,103.391,0.871,0.020,1986,11,120.256,0.015,1.329,0.752,0.884
10,0.018,3.487,0.087,0.531,0.183,0.125,158.407,0.797,0.189,2408,33,159.944,0.133,1.466,0.682,0.958
11,2.673E-4,1.154,0.031,0.065,0.025,0.014,39.596,0.798,0.026,809,27,29.358,0.015,1.853,0.540,0.890
12,1.456E-4,4.245,0.027,0.044,0.015,0.012,19.481,0.942,0.016,3000,21,15.255,0.013,1.199,0.834,0.901
13,7.661E-4,2.327,0.041,0.108,0.035,0.028,55.305,0.821,0.037,1639,39,37.304,0.029,1.270,0.787,0.897
14,1.656E-4,7.166,0.032,0.047,0.017,0.013,58.356,0.946,0.018,5070,28,61.390,0.013,1.340,0.746,0.917
15,7.920E-4,8.392,0.049,0.111,0.039,0.026,79.676,0.806,0.042,5936,50,74.578,0.028,1.546,0.647,0.906
16,0.005,1.702,0.078,0.294,0.092,0.065,97.893,0.686,0.100,1192,23,103.055,0.072,1.416,0.706,0.917
17,0.002,9.611,0.064,0.183,0.058,0.047,19.350,0.807,0.061,6783,47,7.943,0.048,1.238,0.808,0.928
18,1.157E-4,7.762,0.044,0.040,0.013,0.012,90.000,0.927,0.014,5495,26,95.711,0.013,1.065,0.939,0.853
19,1.995E-4,5.867,0.044,0.056,0.021,0.012,2.862,0.807,0.022,4147,33,11.310,0.013,1.763,0.567,0.877
20,4.070E-4,8.133,0.053,0.077,0.024,0.021,104.951,0.870,0.027,5755,28,108.435,0.021,1.131,0.884,0.921
21,0.002,5.201,0.070,0.174,0.053,0.046,111.050,0.806,0.059,3675,29,118.393,0.049,1.149,0.871,0.928
22,0.001,7.799,0.063,0.136,0.049,0.030,39.781,0.783,0.052,5506,54,32.829,0.032,1.644,0.608,0.914
23,0.024,4.993,0.141,0.969,0.272,0.113,40.801,0.324,0.317,3467,190,43.013,0.128,2.403,0.416,0.784
24,4.888E-4,5.845,0.061,0.085,0.030,0.021,112.042,0.840,0.033,4131,34,120.964,0.023,1.467,0.682,0.921
25,2.653E-4,1.496,0.061,0.063,0.023,0.015,47.904,0.852,0.024,1051,47,40.236,0.017,1.553,0.644,0.893
26,0.002,10.622,0.080,0.190,0.057,0.044,53.078,0.694,0.061,7516,78,72.408,0.051,1.291,0.775,0.867
27,1.776E-4,9.950,0.064,0.048,0.017,0.013,92.221,0.979,0.018,7043,39,108.435,0.013,1.309,0.764,0.942
28,0.003,6.002,0.105,0.244,0.072,0.062,121.225,0.737,0.077,4240,97,75.203,0.062,1.170,0.854,0.917
29,0.005,8.830,0.100,0.291,0.094,0.067,25.368,0.737,0.099,6216,76,19.983,0.071,1.399,0.715,0.920
30,1.436E-4,0.893,0.071,0.044,0.014,0.013,31.381,0.949,0.016,627,51,10.305,0.013,1.138,0.879,0.878
31,1.396E-4,8.236,0.073,0.043,0.014,0.012,38.634,0.938,0.015,5827,55,33.690,0.013,1.180,0.848,0.892
